department,internal_id,last_sold,name,price,properties,quantity,tags,upc
BEER,,2019-04-19 00:00:00,Twisted Tea Single 24oz Malt,3.16,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",1.00000000,high_margin,087692832317
WINE,,2020-03-16 00:00:00,Predator Zinfandel 750ml Domestic,16.04,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,087712202120
LIQUOR,,2019-08-03 00:00:00,Seagrams Vo 200ml Canadian Whiskey,6.53,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,08773900
LIQUOR,,2019-05-14 00:00:00,Seagrams VO 375ml Canadian Whiskey,10.89,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,08776101
LIQUOR,,2019-06-15 00:00:00,Seagrams'7 375ml Whiskey,9.25,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,08776509
LIQUOR,,2019-08-08 00:00:00,Fireball Cinnamon 1.75L Whiskey,35.96,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088004009281
LIQUOR,,2019-08-03 00:00:00,Dr McGillicuddy Grape 50ml Liqueur,1.07,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,088004009588
LIQUOR,,2019-04-18 00:00:00,Dr McGillicuddy Rootbeer 50ml Liqueur,1.07,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,088004009632
LIQUOR,,2019-08-09 00:00:00,Dr McGillicuddy Apple pie 50ml Liqueur,1.07,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,088004009755
LIQUOR,,2019-08-06 00:00:00,Dr McGillicuddy Butterscot50ml Liqueur,1.07,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,088004020323
LIQUOR,,2020-02-20 00:00:00,Dr. McGillicuddy Irish 750ml Whiskey,21.79,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088004023478
LIQUOR,,2019-07-08 00:00:00,Sea Ice 1.75L Vodka,14.16,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088004028213
